code,n_seg,n_src,n_sch,sheet
CAUSE-POLICY,2,2,2,09_CAUSES
CHAL-COLLAB,2,2,2,08_CHALLENGES
CAUSE-OPERATION,2,2,2,09_CAUSES
SOL-HR-COMP,2,2,1,10_SOLUTIONS
QVAL-SELF-REFLECT,2,2,2,06_QCULT_IDENTIFICATION
QVAL-SOCIAL-RESP,2,2,1,06_QCULT_IDENTIFICATION
COMM-INTERNAL,2,2,2,05_COMMUNICATION_PARTICIPATION
COMM-BULLETIN,2,2,2,05_COMMUNICATION_PARTICIPATION
QA-POST-ACCRED,2,2,2,01_STRUCTURAL
CTX-GV,2,2,1,00_CONTEXT
CHAL-MINDSET,2,2,2,08_CHALLENGES
CHAL-QUALITY-AWARE,2,2,2,08_CHALLENGES
QVAL-CREATIVITY,2,2,1,06_QCULT_IDENTIFICATION
QVAL-EXCELLENCE,2,2,2,06_QCULT_IDENTIFICATION
QCULT-SHARED-RESP,2,2,2,06_QCULT_IDENTIFICATION
QA-TOOLS,2,2,2,01_STRUCTURAL
QCULT-LOW-PART,2,2,2,06_QCULT_IDENTIFICATION
QCULT-SCHOOL-COMMIT,2,2,2,06_QCULT_IDENTIFICATION
SOL-CURR-ADAPT,2,2,2,10_SOLUTIONS
OUT-LEAD-COMMIT,1,1,1,07_RELATED_OUTCOMES
QA-ACCESS,1,1,1,01_STRUCTURAL
OUT-PD,1,1,1,07_RELATED_OUTCOMES
SOL-RESP-COMMIT,1,1,1,10_SOLUTIONS
SOL-RESPONSIBILITY,1,1,1,10_SOLUTIONS
CHAL-CURRICULUM,1,1,1,08_CHALLENGES
CHAL-HIERARCHY,1,1,1,08_CHALLENGES
CHAL-COMM-COLLAB,1,1,1,08_CHALLENGES
COMM-MIDDLE-GV,1,1,1,05_COMMUNICATION_PARTICIPATION
LEAD-DEVELOPMENT-SUPPORT,1,1,1,04_LEADERSHIP
LEAD-EXPECTATION,1,1,1,04_LEADERSHIP
COMMIT-SELF,1,1,1,02_INDIVIDUAL
CTX-CBQL,1,1,1,00_CONTEXT
QVAL-OPEN-COMM,1,1,1,06_QCULT_IDENTIFICATION
QVAL-INTERNATIONAL,1,1,1,06_QCULT_IDENTIFICATION
QVAL-EXTERNAL-COLLAB,1,1,1,06_QCULT_IDENTIFICATION
QCULT-VALUES,1,1,1,06_QCULT_IDENTIFICATION
QA-SWOT,1,1,1,01_STRUCTURAL
CTX-SCHOOL,1,1,1,00_CONTEXT
QCULT-CULTURE,1,1,1,06_QCULT_IDENTIFICATION
QCULT-POLICY,1,1,1,06_QCULT_IDENTIFICATION
CHAL-OPENNESS,1,1,1,08_CHALLENGES
CHAL-LEAD-GOV,1,1,1,08_CHALLENGES
SOL-HR-PD,1,1,1,10_SOLUTIONS
SOL-INITIATIVE,1,1,1,10_SOLUTIONS
SOL-PD-APPLY,1,1,1,10_SOLUTIONS
SOL-LEARN,1,1,1,10_SOLUTIONS
SOL-QA-DATA,1,1,1,10_SOLUTIONS
SOL-TEAM-MEETING,1,1,1,10_SOLUTIONS
